year,age_gp,sex,race,edclass,tmort,mvaccmort,opioidmort,alcpoimort,uijmort,sijmort,othjmort,covmort,flumort,othinfmort,heartmort,cancermort,strokemort,respmort,dementiamort,dmmort,kidneymort,livermort,audmort,othncdmort,restmort
2000,18,1,"1-WNH","LEHS",7847.146,3005.726,343.6158,10.90909,890.2371,1530.726,464.1654,0,47.13462,42.13044,182.2468,307.4702,27.12766,30.75,6,37.56522,14.82353,10,12.75,584.8745,299.1995
2000,18,1,"1-WNH","SomeC",2106.702,795.2322,86.6969,1.090909,271.4008,399.0445,65.25681,0,8.769231,6.652174,58.18723,136.8874,17.3617,8.2,0,9.391304,3.176471,0,4.25,140.325,93.69948
2000,18,1,"1-WNH","College",393.1521,129.0416,12.68735,0,63.36207,61.22906,11.57782,0,1.096154,2.217391,17.56596,32.64238,6.510638,2.05,0,1.043478,0,0,0,34.80059,18.10104
2000,18,1,"2-BNH","LEHS",3765.596,585.994,19.86364,0,204.0829,285.8253,1915.31,0,16,17,122.6119,97.94782,14.93333,32.57143,2,21.66667,7,4,5,206.6129,202.4454
2000,18,1,"2-BNH","SomeC",518.7189,131.8209,3.136364,0,34.57143,55.82524,164.7464,0,1,2,23.13433,27.82609,1.066667,5.428571,0,4.333333,0,1,0,29.35484,37.29258
2000,18,1,"2-BNH","College",59.68524,12.18513,0,0,3.345622,3.349514,15.9432,0,0,1,9.253732,2.226087,0,0,0,0,0,0,0,9.032258,4.262009
2000,18,1,"3-Hisp","LEHS",2855.885,902.9439,53.76271,2.666667,307.9969,290.6503,800.9056,0,7.875,18,54.68254,109.6529,14,8.8,0,5,6,5,20,125.1515,123.2045
2000,18,1,"3-Hisp","SomeC",274.3,103.4953,7.237288,1.333333,31.56151,43.28835,34.86792,0,1.125,3,9.285714,12.29752,1,1.1,0,0,0,0,0,11.66667,12.63636
2000,18,1,"3-Hisp","College",34.815,10.56075,0,0,5.44164,2.06135,4.226415,0,0,2,1.031746,2.049587,0,1.1,0,0,0,0,0,3.181818,3.159091
2000,18,1,"4-Others","LEHS",527.9088,185.6579,3.5,2,60,86.96638,99.16666,0,2,3,16.61539,15,2,3,0,1,0,1,1.5,28.42105,18
2000,18,1,"4-Others","SomeC",183.3324,57.03947,3.5,0,24.64286,38.52941,13.22222,0,0,3,9.346154,15,0,1,0,0,1,1,1.5,8.421053,6
2000,18,1,"4-Others","College",39.75882,12.30263,0,0,5.357143,5.504202,6.611111,0,0,1,1.038462,4,0,0,0,0,0,0,0,3.157895,0
2000,18,2,"1-WNH","LEHS",2562.075,967.1351,71.73959,0,175.1796,178.613,174.206,0,34.36364,29.51351,116.8904,192.9868,26.65,14.85714,2,21.67742,18.7,5,3,376.6855,155.4163
2000,18,2,"1-WNH","SomeC",1011.543,429.4843,25.26042,0,69.23265,87.66283,65.45923,0,6.363636,7.378378,38.59589,98.09271,11.275,9.142858,0,8.258064,3.3,3,1,100.0747,45.89474
2000,18,2,"1-WNH","College",215.3815,94.38051,0,0,12.58776,19.72414,6.334764,0,1.272727,2.108108,5.513699,30.92053,3.075,0,0,2.064516,0,0,0,20.23982,16.689
2000,18,2,"2-BNH","LEHS",1018.941,179.6591,5.833333,0,47.21569,37.41177,206.4286,0,17.77778,20.57143,78.88889,56.55,14.4,13.68421,2,20.45455,10,2.5,1,168.75,138.1132
2000,18,2,"2-BNH","SomeC",301.252,81.375,1.166667,0,7.686275,14.54902,45.25974,0,2.222222,5.142857,27.77778,23.925,2.4,5.263158,0,4.545455,0,1.25,0,43.62245,32.83019
2000,18,2,"2-BNH","College",59.80738,17.96591,0,0,1.098039,1.039216,3.311688,0,0,1.285714,3.333333,6.525,1.2,1.052632,0,0,0,1.25,0,12.62755,9.056603
2000,18,2,"3-Hisp","LEHS",567.9206,173.4506,7,0,31.88571,24,86.18182,0,6,7,23,63.17857,8.727273,2,0,4,5,2,2,63.2875,60.67692
2000,18,2,"3-Hisp","SomeC",136.7603,59.20172,0,0,1.028571,13,8.727273,0,1,4,2,16.57143,2.181818,0,0,2,0,0,0,18.675,7.323077
2000,18,2,"3-Hisp","College",31.31915,9.347639,0,0,3.085714,0,1.090909,0,3,0,5,7.25,1.090909,0,0,0,0,0,0,1.0375,0
