year,age_gp,sex,race,edclass,tmort,lvdcmort,hlvdcmort,dmmort,ihdmort,istrmort,hyphdmort,audmort,uijmort,mvaccmort,ijmort,restmort
2000,18,1,"1-WNH","LEHS",7847.146,10,0,37.56522,35.30233,5,8,23.62963,705.2868,3005.726,1530.726,2485.875
2000,18,1,"1-WNH","SomeC",2106.702,0,0,9.391304,7.488372,0,1,5.37037,221.1226,795.2322,399.0445,667.8631
2000,18,1,"1-WNH","College",393.1521,0,0,1.043478,3.209302,1,1,0,56.59062,129.0416,61.22906,140.262
2000,18,1,"2-BNH","LEHS",3765.596,4,0,21.66667,9.75,3,7,5,184.1846,585.994,285.8253,2657.207
2000,18,1,"2-BNH","SomeC",518.7189,1,0,4.333333,1.083333,0,4,0,31.44615,131.8209,55.82524,291.186
2000,18,1,"2-BNH","College",59.68524,0,0,0,2.166667,0,1,0,3.369231,12.18513,3.349514,37.60705
2000,18,1,"3-Hisp","LEHS",2855.885,5,0,5,5.833333,1,1,22.85714,288.1331,902.9439,290.6503,1333.629
2000,18,1,"3-Hisp","SomeC",274.3,0,0,0,1.166667,0,0,1.142857,27.38908,103.4953,43.28835,97.58261
2000,18,1,"3-Hisp","College",34.815,0,0,0,0,0,0,0,5.477816,10.56075,2.06135,16.78841
2000,18,1,"4-Others","LEHS",527.9088,1,0,1,3.75,0,0,3.75,56.35443,185.6579,86.96638,189.6955
2000,18,1,"4-Others","SomeC",183.3324,1,0,0,1.25,0,0,1.25,22.32911,57.03947,38.52941,61.76132
2000,18,1,"4-Others","College",39.75882,0,0,0,0,0,0,0,5.316456,12.30263,5.504202,16.54321
2000,18,2,"1-WNH","LEHS",2562.075,5,0,21.67742,19.2,2,1,3,129.2766,967.1351,178.613,1236.373
2000,18,2,"1-WNH","SomeC",1011.543,3,0,8.258064,4.8,3,2,1,54.21276,429.4843,87.66283,417.1677
2000,18,2,"1-WNH","College",215.3815,0,0,2.064516,0,0,0,0,12.51064,94.38051,19.72414,86.45963
2000,18,2,"2-BNH","LEHS",1018.941,2.5,0,20.45455,5.625,0,2,1,40.60976,179.6591,37.41177,731.4612
2000,18,2,"2-BNH","SomeC",301.252,1.25,0,4.545455,3.375,0,0,0,3.292683,81.375,14.54902,191.6
2000,18,2,"2-BNH","College",59.80738,1.25,0,0,0,1,2,0,1.097561,17.96591,1.039216,34.93882
2000,18,2,"3-Hisp","LEHS",567.9206,2,0,4,2,0,0,2,22.91667,173.4506,24,337.9372
2000,18,2,"3-Hisp","SomeC",136.7603,0,0,2,1,0,0,0,1.041667,59.20172,13,60.00754
2000,18,2,"3-Hisp","College",31.31915,0,0,0,0,0,0,0,1.041667,9.347639,0,21.05528
2000,18,2,"4-Others","LEHS",180.8051,1,0,0,1,0,0,3,9.529411,62.14286,24.48387,79.50414
2000,18,2,"4-Others","SomeC",95.21691,0,0,0,0,0,0,0,7.411765,39.64286,6.387097,41.90083
2000,18,2,"4-Others","College",14.97794,0,0,0,0,0,0,0,1.058824,3.214286,2.129032,8.595041
2000,25,1,"1-WNH","LEHS",4770.905,25.09091,1,37.24138,80.09708,5.625,7.583333,39.78,464.8172,1201.595,981.2349,1926.186
2000,25,1,"1-WNH","SomeC",1338.116,6.545455,0,16.55172,18.15534,3.375,3.25,6.12,132.4946,304.1336,285.0103,562.4293
2000,25,1,"1-WNH","College",810.9792,4.363636,0,6.206897,11.74757,0,2.166667,5.1,109.6882,163.2717,157.7548,351.3844
2000,25,1,"2-BNH","LEHS",2473.63,7.333333,0,30.27027,32.68085,0,16,15,105.6589,317.9768,161.5545,1788.635
2000,25,1,"2-BNH","SomeC",491.6667,3.666667,0,7.567567,12.25532,0,3,0,33.72093,98.83063,45.05941,286.7945
2000,25,1,"2-BNH","College",161.7037,0,0,2.162162,3.06383,0,1,0,5.620155,46.19257,15.38614,87.57085
2000,25,1,"3-Hisp","LEHS",1773.619,14,0,12,9.454545,0,9,25.65385,155.9295,450.7866,172.178,924.6119
2000,25,1,"3-Hisp","SomeC",179.7441,0,0,4,2.363636,0,0,1.115385,15.70513,56.8954,21.25654,78.39334
2000,25,1,"3-Hisp","College",60.63656,0,0,0,1.181818,0,0,2.230769,3.365385,15.31799,9.565445,28.9948
2000,25,1,"4-Others","LEHS",340.3247,5,0,0,4.444445,0,1,3.75,34.64706,84.65909,62.2347,144.3547
2000,25,1,"4-Others","SomeC",102.7604,0,0,1,1.111111,0,0,1.25,10.05882,32.73485,20.7449,36.08867
2000,25,1,"4-Others","College",114.9148,0,0,1,4.444445,0,0,0,12.29412,31.60606,24.02041,41.55665
2000,25,2,"1-WNH","LEHS",1742.481,8,0,31.33333,17.23077,4,7.875,7,87.77778,359.3782,155.9434,1063.978
2000,25,2,"1-WNH","SomeC",648.092,3,0,11.48889,6.461538,1,1.125,3,28.88889,124.7254,76.35849,392.0481
2000,25,2,"1-WNH","College",511.4268,0,0,4.177778,4.307693,0,0,2,23.33333,127.8964,52.69811,296.9738
2000,25,2,"2-BNH","LEHS",947.3813,6,0,25.15625,12,3.333333,13.8125,2,29.03226,97.24,20,738.7874
2000,25,2,"2-BNH","SomeC",287.5581,1,0,6.5625,4,1.666667,3.1875,0,4.645161,33.176,13.33333,220.3011
2000,25,2,"2-BNH","College",127.0606,2,0,3.28125,2,0,0,0,2.322581,12.584,6.666667,97.91158
2000,25,2,"3-Hisp","LEHS",463.2442,3,0,4,7,2,0,1,14,72.07921,17,343.3092
2000,25,2,"3-Hisp","SomeC",82.23886,0,0,1,0,0,0,0,2,17.50495,6,55.64339
2000,25,2,"3-Hisp","College",38.51693,0,0,0,0,0,0,0,1,14.41584,1,22.04738
2000,25,2,"4-Others","LEHS",113.42,4,0,1,0,2,0,3,4.8,26.55319,10.28571,61.05263
2000,25,2,"4-Others","SomeC",53.5,1,0,0,2,1,0,0,3.6,9.957447,16.45714,20
2000,25,2,"4-Others","College",47.08,0,0,0,0,0,0,0,3.6,15.48936,9.257143,18.94737
2000,30,1,"1-WNH","LEHS",6221.394,86.52381,2,112.3179,254.8496,3,23.15789,76.41122,556.3229,1090.261,1065.554,2951.377
2000,30,1,"1-WNH","SomeC",1644.712,17.52381,0,31.78808,69.60177,0,9.473684,23.02804,120.0543,270.7147,314.2698,787.6734
2000,30,1,"1-WNH","College",1147.894,10.95238,0,15.89404,38.54867,0,7.368421,12.56075,113.6228,166.0242,185.1758,597.9496
2000,30,1,"2-BNH","LEHS",2750.735,15,0,42.38462,74.49438,5,34.75555,28.86207,130.3409,270.2915,129.2484,2020.712
2000,30,1,"2-BNH","SomeC",547.2782,1,0,11.15385,18.33708,0,7.155556,2.137931,18.78788,67.04082,37.7451,384.0568
2000,30,1,"2-BNH","College",223.9868,1,0,4.461538,9.168539,1,4.088889,0,5.871212,27.66764,8.006536,162.2309
2000,30,1,"3-Hisp","LEHS",1883.488,65.69231,1,24.53333,35.475,2,5,29.05882,155.358,308.8528,122.1951,1135.49
2000,30,1,"3-Hisp","SomeC",216.9966,3.230769,0,6.4,4.3,1,2,7.823529,10.8642,25.47239,32.58537,122.4653
2000,30,1,"3-Hisp","College",85.51589,1.076923,1,1.066667,3.225,0,0,1.117647,9.777778,11.67485,12.21951,44.04456
2000,30,1,"4-Others","LEHS",364.0858,23.47826,0,7,10,0,3,15.78947,26.55882,60.80769,52.61194,164.2094
2000,30,1,"4-Others","SomeC",93.03138,1.173913,0,1,1.25,0,0,4.210526,3.794118,17.88461,15.67164,47.5641
2000,30,1,"4-Others","College",91.88284,2.347826,0,0,3.75,0,0,0,12.64706,14.30769,6.716418,53.22649
2000,30,2,"1-WNH","LEHS",2635.724,53.83333,1,56.89655,72.12122,6,6.5,26.05714,108.2963,336.5209,201.4945,1767.033
2000,30,2,"1-WNH","SomeC",966.825,17.94444,0,18.62069,21.21212,2,5.416667,8.685715,26.54321,138.9506,106.5495,620.8784
2000,30,2,"1-WNH","College",752.4514,4.222222,0,14.48276,11.66667,1,1.083333,3.257143,37.16049,95.52852,75.95605,508.089
2000,30,2,"2-BNH","LEHS",1494.447,17.80952,0,37.125,49.43103,5,24.35714,7,38.43478,77.78181,20.26667,1216.805
2000,30,2,"2-BNH","SomeC",444.5078,4.190476,0,13.5,9.465517,2,5.535714,3,10.17391,34.94545,7.466667,354.2885
2000,30,2,"2-BNH","College",153.0457,0,0,3.375,2.103448,0,1.107143,0,3.391304,11.27273,4.266667,127.9061
2000,30,2,"3-Hisp","LEHS",553.4271,8,0,8.8,6,3.75,4,2,10,66.8764,15,429.7173
2000,30,2,"3-Hisp","SomeC",119.2641,0,0,1.1,0,1.25,0,0,7,15.67416,5,88.87096
2000,30,2,"3-Hisp","College",52.3088,0,0,1.1,0,0,0,0,2,10.44944,6,32.41177
2000,30,2,"4-Others","LEHS",160.7659,12,0,1,2.666667,2,0,0,6.461538,25.53192,11,99.77368
2000,30,2,"4-Others","SomeC",68.89967,0,0,1,1.333333,0,0,0,3.230769,13.82979,7,42.6
2000,30,2,"4-Others","College",97.33445,1,0,2,0,0,0,0,4.307693,10.6383,9,70.62631
2000,35,1,"1-WNH","LEHS",10529.66,359.8217,10,172.8833,902.6678,18.41667,79.22115,231.0702,811.3282,1252.25,1427.865,5263.703
2000,35,1,"1-WNH","SomeC",2609.989,67.26637,0,52.70833,204.9587,1.083333,14.40385,72.62207,177.5777,296.5854,366.7136,1356.469
2000,35,1,"1-WNH","College",1782.353,45.91196,0,27.40833,126.3735,6.5,13.375,25.30769,119.094,205.1649,243.4219,969.8274
2000,35,1,"2-BNH","LEHS",3843.291,79.16666,0,73.96552,208.0237,8,51.89189,47.67391,177.6477,265.4708,119.9753,2813.123
2000,35,1,"2-BNH","SomeC",795.4353,9.047619,0,19.34483,42.6996,1,17.2973,3.326087,35.97927,67.19385,32.91358,566.0275
2000,35,1,"2-BNH","College",308.2734,6.785714,0,5.689655,26.27668,0,10.81081,0,3.373057,25.33538,19.11111,209.8499
2000,35,1,"3-Hisp","LEHS",2141.923,128.6765,1,23.69231,69.85107,4,15.88235,70.62162,152.454,252.6197,129.3691,1293.745
2000,35,1,"3-Hisp","SomeC",273.0738,6.176471,0,4.307693,17.7234,0,2.117647,5.27027,13.95706,31.04225,21.20805,171.357
2000,35,1,"3-Hisp","College",128.0034,5.147059,0,0,10.42553,0,0,2.108108,8.588957,20.33803,7.422819,73.89771
2000,35,1,"4-Others","LEHS",539.0872,32.82051,0,9.142858,36.98113,3,4,27.18182,46.8,57.70732,60.1039,260.1744
2000,35,1,"4-Others","SomeC",153.361,6.153846,0,1.142857,6.339622,0,1,7.090909,6.5,23.30488,13.87013,87.9128
2000,35,1,"4-Others","College",147.5519,1.025641,0,5.714286,12.67924,0,0,4.727273,11.7,9.987804,15.02597,87.9128
2000,35,2,"1-WNH","LEHS",4974.966,187.562,4,123.5429,290.9626,13.26316,25.94595,56.22857,170.8841,467.1174,316.8124,3320.792
2000,35,2,"1-WNH","SomeC",1734.53,43.20248,1,37.6,64.16666,4.421052,7.567567,12.88571,44.34335,189.8331,138.9343,1189.217
2000,35,2,"1-WNH","College",1280.504,24.23554,0,26.85714,29.87069,3.315789,6.486486,12.88571,36.77253,97.04951,105.2533,936.9913
2000,35,2,"2-BNH","LEHS",2357.779,48.4,1,53.47222,120.9925,12,39.46667,15.86667,45.88679,94.26168,18.09678,1909.818
2000,35,2,"2-BNH","SomeC",659.3318,6.6,1,19.25,20.16541,0,16,0,15.69811,22.99065,9.580646,547.2513
2000,35,2,"2-BNH","College",282.889,0,0,4.277778,7.842105,0,8.533334,1.133333,2.415094,5.747663,5.322581,246.9305
2000,35,2,"3-Hisp","LEHS",860.9413,27.77143,1,16.57895,17,1,6,6,18.78261,76.76289,28,662.0901
2000,35,2,"3-Hisp","SomeC",170.1137,5.142857,0,2.210526,5,3,0,0,4.173913,15.7732,3,131.7954
2000,35,2,"3-Hisp","College",81.94501,3.085714,0,2.210526,1,0,2,0,1.043478,9.463918,5,58.11449
2000,35,2,"4-Others","LEHS",280.0231,20.35714,0,1,8.8,1,0,6.75,12.30769,34.03846,11.90476,184.017
2000,35,2,"4-Others","SomeC",92.96767,9.642858,1,0,1.1,0,0,1.125,0,14.75,1.190476,63.56949
2000,35,2,"4-Others","College",112.0092,0,0,1,1.1,1,1,1.125,3.692308,10.21154,11.90476,81.41356
2000,40,1,"1-WNH","LEHS",15748.75,794.7326,19.33333,368.7188,2237.719,34.61538,149.589,401.6768,891.4566,1214.788,1500.74,8136.133
2000,40,1,"1-WNH","SomeC",3978.857,196.8012,2.148148,91.9125,495.1366,5.769231,49.15068,68.55285,213.5225,305.2927,409.4847,2140.862
2000,40,1,"1-WNH","College",2972.39,106.4662,7.518518,52.36875,352.1446,4.615385,35.26027,56.77032,174.0209,198.9189,338.7747,1645.005
2000,40,1,"2-BNH","LEHS",5514.946,168.306,3,111.5625,503.3844,19.41176,109.1892,107.8899,213.1981,285.1364,114.1529,3881.624
